"key","value"
"client"," bank believable partner bank passed regretting sum frs deducted account frs frs treat customers card frs initial agreement frs respect money refunded happy attitude "
"client"," november deduction frs march deduction frs"
"client",""
"client"," bank believable partner bank passed regretting sum frs deducted account frs frs treat customers card frs initial agreement frs respect money refunded happy attitude "
"client"," november deduction frs march deduction frs"
"client"," waiting reaction month enable money account talking frs deducted account notification"
"client"," enquire duration loan "
"client"," applied months loan"
"client"," "
"client"," understand happening applied loan loan account"
"client"," duration loan finally receive"
"client"," document pay total fcfa "
"client"," credit account money"
"client"," maga north travel hypodrom ydé "
"client"," grateful "
"client"," transfer salary campost afriland documents procedure "
"client",""
"client"," noticed unauthorized debit account step verification process debit "
"client"," withdraw money sara account momo account"
"client"," reply saved"
"client"," card swallowed eco bank atm machine initiated transaction money "
"client"," transfer money électronique wallet mobile account putting otp avail frustating"
"client"," failure otp"
"client"," transfer money current account saving account sara application telling invalid mfatoken input verify"
"client"," understand"
"client"," "
"client"," account properly receive message contact agent details"
"client",""
"client",""
"client",""
"client"," account afriland bank afriland bank card"
"client"," account"
"client",""
"client","account "
"client"," block bank card lost bank card"
"client"," bank account statement"
"client"," procedures loan"
"client"," "
"client"," transfer xaf sara money account mtn mobile money account "
"client"," recieve message mobile "
"client"," tye inconvenience mistake missed phone "
"client"," requested loan request considered "
"client","waiting confirmation "
"client"," applied afb maroua weeks"
"client"," sara account bank account balance displaying"
"client","moreso atm card stolen code wallet atm card"
"client"," stolen blocked"
"client"," check account balance momo told account registered "
"client"," waiting favourable response "
"client"," account debited yesterday "
"client"," yesterday "
"client"," patiently waiting response"
"client","sara"
"client"," renew term loan solve"
"client"," pressing "
"client"," plaster house doors "
"client",""
"client"," sce debit account times month equally unpaid loans account history monthly curtailments "
"client"," understand account explanations "
"client"," pleas "
"client"," "
"client"," month afriland debit account times sce normal "
"client"," gros lot rappel month withdrawn money sara authorization "
"client"," calling picking yaounde"
"client"," tomorrow"
"client"," withdraw money sara wallet mtn momo wallet failure"
"client"," waiting"
"client"," withdraw money zara wallet mtn momo inserting pin validate failure"
"client"," summary unable withdraw zara wallet"
"client"," subscribed sara time login connection time load"
"client"," log sara"
"client"," bank swift code afriland bank"
"client"," iban international transfers"
"client"," esemu efu forkanji hilary account hippodrome yaounde lost contact account manager "
"client"," main contact account manager talk"
"client"," apply term loan eligible "
"client"," card bank branch buea message weeks availability card bank weekly base restraining activities"
"client"," bank buea"
"client"," account linked orange mobile money"
"client"," received sms visa card ready pass tomorrow collect "
"client"," loan noticed debits concern "
"client"," couple withdrawals balance account worth "
"client"," bought air time sara account reduction received credit"
"client"," frs friday "
"client"," transfer money account user bank sarah money carry transaction phone "
"client"," transfer money account user bank sarah money carry transaction phone "
"client"," password times incorrect card fallen bank "
"client"," card"
"client"," etoudi"
"client"," tomorrow reach "
"client"," unavailable access sera banking app multiple attempt unsuccessful"
"client"," network issues block afterward pin "
"client"," unable access sera banking app unsuccessful attempts password block remove "
"client"," transaction sans success svp redebloque le compt"
"client"," afriland bank bafoussam unable transactions savings current account solved unable hope sara banking app block supposed wait unsuccessful transactions"
"client"," balance afb current account frs yesterday wrong"
"client"," account balance supposed negative"
"client",""
"client"," "
"client"," afraid salary month"
"client"," unable withdraw current account bloque "
"client"," solve level "
"client",""
"client","compt current "
"client"," account blocked looked days "
"client",""
"client"," bank statement afriland bank payoneer bank account"
"client","bjr"
"client"," version sara unable transactions accounts balance frs frs version sara atall"
"client"," "
"client"," application money"
"client"," customer service signed document school fee loan monday august deposit hrs processing time respected time money"
"client"," expect "
"client"," signed "
"client"," sign monday"
"client"," document sign monday days complaining deposit "
"client"," "
"client"," mistake document "
"client"," time error detected body informed monday"
"client"," customer service signed document monday called signed upto school fee loan request pending reason deposited monday "
"client"," loan week august applied atleast "
"client"," waiting day program travel"
"client"," customer service"
"client"," processing time week expecting "
"client"," waited lastly sign file days delayance time normal issue "
"client"," applied loan august signe august marriage program august school issues close weeks day questions deposit account reason applying avoid situation presently finding abnormal delayance ruining program"
"client","saturday august wks day applied loan"
"client"," "
"client"," wrong afb time continue wait "
"client"," excessive delayance file penalizing "
"client"," file sign august august exact clue situation situation falls normal processing "
"client","period "
"client"," told called weekend credit file process patient single time telling issue solve wrong afb time "
"client"," wrong afb disturbing"
"client"," precise waiting weeks patient precision "
"client"," ngeanoh gisla talking loan situation afrilandfirstbank borrowed money remaining finished"
"client"," debit credit card"
"client",""
"client"," account march card"
"client"," "
"client",""
"client",""
"client"," salary account "
"client"," "
"client"," messages received bank card salary alert"
"client",""
"client"," afriland delay alert customers "
"client"," afriland habit"
"client"," "
"client"," details frs"
"client","hw "
"client"," access sara banking app"
"client"," code"
"client","iphone "
"client","alright update app"
"client","okey "
"client"," "
"client"," wen atm card ready"
"client"," transfer funds bank accounts cameroon europe"
"client","aright"
"client",""
"client"," withdraw money account machine hold card money"
"client"," contact"
"client"," "
"client"," total melen"
"client"," dat "
"client"," time"
"client",""
"client"," remittance spain account credited money hold requested justifications require documents including exportation declaration account credited fund meant complete business transaction penalises "
"client","guittance paiement pdf"
"client","bbva ewangs pdf"
"client"," client started losing patient lose client"
"client",""
"client"," reply "
"client"," account credited requested submission export declaration attach "
"client","ewanstrading pdf"
"client"," frs missing account"
"client"," left balance frs month fine "
"client"," month account frs withdraw frs left frs account money left account"
"client"," salary month dropped frs frs"
"client"," balance"
"client"," balance"
"client",""
"client",""
"client"," topup phone air time send otp continuously account suspended"
"client"," solve"
"client"," waiting "
"client","money atm card deducted account period "
"client"," months"
"client","downloaded version sara afriland cameroon updated personal correct upto "
"client"," received pin complete completed minutes recieved message account deactivated"
"client"," surprise deactivated"
"client"," saved day deducted frs week saved frs expecting frs frs "
"client"," equally account messages husband "
"client",""
"client"," signed loan weeks afriland buea money deposited account checked mobile money money withdrawal time checked refused "
"client"," contact bank week unable access account withdrawal services mtn mobile money "
"client"," position situation permit reach closest bank director afriland messa"
"client"," solve blocked week money account withdraw link insist bank contact bank called bank time avail solve permit withdraw money follow mtn mobile money attached bank account "
"client"," afriland"
"client"," ignore customers "
"client"," suffering war earn money complicate blocked money mobile money "
"client"," happy services"
"client"," enquiries"
"client"," cameroon employed nigeria"
"client",""
"client"," nigerian account prepaid card passport proof income"
"client"," fees attached international transactions"
"client"," "
"client"," accounts prepaid cards individual "
"client",""
"client"," dispute enquiry"
"client"," account nigerian passport resident perm"
"client"," "
"client"," requirements "
"client"," noticed months money deducted "
"client"," understand"
"client",""
"client"," "
"client"," issues visa card "
"client"," transaction card rh fees deducted account"
"client"," double charged sum frs"
"client"," succeed transfer money bank accounts sara app"
"client",""
"client"," gain rate concern"
"client"," "
"client"," account mananger"
"client"," bank charges "
"client"," deducted account"
"client"," understand worry"
"client"," crédit weeks money time bank juste money account "
"client"," childrens search thier schools"
"client"," money "
"client"," deposited crédit morethan tree weeks "
"client","epie clovis ngolle"
"client"," account "
"client"," sara services payable month "
"client","frs disappeared account month "
"client"," account holder bearing chiaboh james mbzi bafoussam atm card happening "
"client"," silence "
"client","investigate frs deducted account "
"client"," exact april"
"client"," cash money account current account month left xaf balance reduced xaf understand deduction happened "
"client"," time xaf time xaf "
"client"," xaf deducted account justifications people witness "
"client"," application told subscribe charge coins started disappearing "
"client"," frank happy situation "
"client"," credit debited fcfa monthly account deficit fcfa meaning deducting salary understand "
"client"," situation"
"client"," deduct rest progressively "
"client"," salary cutting penalise "
"client"," account reactivate account"
"client"," "
"client",""
"client"," agency agency account "
"client",""
"client"," bring "
"client"," unable log account message account susspended contact support"
"client","hallo"
"client"," noticed discount account account debited"
"client"," waiting reply"
"client",""
"client",""
"client"," customer complete registration sara"
"client"," savings account time"
"client"," withdrew money account mobile money mobile money account consult accont sara requested mobile money reduced mobilemoney account "
"client",""
"client"," explained "
"client","bsr"
"client",""
"client"," xaf account transferred sara money consult account balance balance xaf explanation"
"client"," sara account suspended activate "
"client"," "
"client"," saturday cash sara account time wrong balance "
"client"," week saturday cash sara account time wrong balance "
"client"," hours "
"client"," love mvan branch located"
"client"," money deducted account salary month "
"client"," talking "
"client","money deducted account "
"client"," "
"client"," withdraw money account decreasing"
"client"," registered sara application received code application"
"client"," told code send "
"client"," withdraw money money withdraw machine message account debited"
"client"," "
"client"," registered sara login remember password visit agency bonaberi grand hangar"
"client"," received sms password"
"client"," withdrawal fcfa withdraw account permitting withdrawal "
"client"," account balance balance withdrawing money "
"client"," deposit momo account"
"client"," applied prepaid card told weeks bank check arrival told card ready"
"client"," account "
"client",""
"client"," guide"
"client"," create bank acount "
"client"," transfer money afriland afriland"
"client"," error message"
"client"," login sara app"
"client"," fixed"
"client"," guys configure sarah money app"
"client"," "
"client"," "
"client"," "
"client"," trouble loging sara appplication"
"client"," "
"client",""
"client"," speak center agent"
"client"," transaction wrong mobile money account regular momo "
"client","hère receipt"
"client"," reclaim transaction "
"client"," "
"client",""
"client"," registration form lost previous inorder customer sara app"
"client",""
"client"," pls deposit redraw frs account balance frs "
"client",""
"client"," "
"client"," charges "
"client"," explain colleague told culting charges "
"client"," account"
"client","sara account activation"
"client"," created sara money account activate soonest"
"client","phone "
"client"," gmail "
"client"," receive messages "
"client"," file application card limit increased "
"client"," school fees loan agence biyemassi "
"client"," signed documents granted loan thursday entered account takes process loan "
"client"," "
"client",""
"client"," signed documents granted loan thursday entered account takes process loan "
"client"," documents treated "
"client"," transactions sara"
"client"," money wallet momo service bank transfer "
"client"," facing"
"client",""
"client"," subscribed prepaid bank card receive instantly "
"client"," card debited fcfa unknown source refund authorize transaction "
"client"," access account step"
"client",""
"client",""
"client"," "
"client"," deposited account day checking account money deposited"
"client"," reply "
"client"," phone stollen bank card "
"client"," bank account lost "
"client"," attacked thieves collected including bank card phone carries card account"
"client",""
"client"," "
"client"," "
"client"," submitted request account manager card unlocked travelled haiti received email card unlocked"
"client"," sara mobile application functioning days"
"client"," transactions"
"client"," requested email account manager"
"client"," email "
"client","valerynzima gmail "
"client"," resend add sara application weeks "
"client"," realize address valnzima gmail "
"client"," "
"client"," check apple store sara applications sara afriland sara afriland cameroon applications feel confused functioning phone installed assistance bank staff "
"client"," imtwo months traveled haiti sending request card unlocked received feedback afriland sara application functioning month fixed blocked"
"client"," card functioning traveled haiti "
"client"," cameroon account manager shared complaint technical services feedback "
"client"," unable access app"
"client"," kindly products shortly"
"client"," created account left country shortly return account month account transaction assured transfer money business couple days withdraw charged fcfa savings account claimed card supposed suspended months inactivity email response time frustrating attitude workers rotten time attend customers withdrawn soooo rude justification time explain politely wits demand "
"client"," trust bank reputation money drain beg justifications tweet ceo complain "
"client",""
"client"," loan branch bastos thursday checked account yesterday deposited money account "
"client",""
"client"," money withdrawn account "
"client"," "
"client",""
"client"," question answered "
"client"," eco pack money withdrawn talking eco pack"
"client"," paid bank eco money deducted "
"client",""
"client","doc wa pdf"
"client"," "
"client"," paid bank card january called eco pack "
"client"," account "
"client"," phone lost documents renew sim card "
"client"," terrible accident"
"client",""
"client",""
"client"," create blocked account bank procedure follow documents money spend "
"client"," create blocked account bank procedure follow documents money spend "
"client",""
"client"," contact owner cards picked nzoukou dagtse romua"
"client",""
"client",""
"client"," limbe"
"client"," idenau"
"client"," "
"client","kk"
"client"," explain created account cameroon atm card transactions merchant code thirdly permit collect atm card "
"client"," unable pop airtime account inserting verification code "
"client"," message "
"client"," madam link momo bank account transfer money momo bank account "
"client",""
"client","oooh cameroon "
"client"," day madam"
"client"," sister cousin nearest bank check "
"client","oooh person mentioned bank account details left cameroon months "
"client"," dubai madam"
"client"," branch dubai"
"client"," madam check alternative "
"client"," "
"client"," password access"
"client"," cameroon visit branch"
"client"," sara account suspended multiple attempts "
"client"," afriland bank sara account suspended"
"client"," afriland bank"
"client"," sara account suspended multiple attempts poor network connection"
"client"," sara account suspended multiple attempts poor network connection"
"client"," afriland"
"client"," "
"client"," account connected mobile money eases stress bank withrawal deposit yesterday access bank momo withdraw service time hours money stuff happening "
"client"," "
"client"," status transaction account reference rztcrs"
"client",""
"client",""
"client",""
"client",""
"client",""
"client",""
"client",""
"client"," afriland bank access account sara money changing previous phone logged account info phone otp code "
"client",""
"client"," afriland bank access account sara money changing previous phone logged account info phone "
"client"," talk agent"
"client"," money account account "
"client"," happening"
"client"," bank account"
"client"," sending money account "
"client"," "
"client"," payment"
"client"," "
"client"," "
"client"," "
"client"," understand"
"client"," payment india singapore"
"client"," "
"client"," knowing bank account"
"client"," received international payment countries account balance"
"client"," "
"client"," payment "
"client"," sara app "
"client"," check account"
"client"," account "
"client",""
"client"," "
"client",""
"client"," knowing bank account received international payment countries account balance"
"client"," standing office "
"client"," "
"client",""
"client"," afternoon"
"client"," disturb "
"client"," "
"client"," received account "
"client"," week days "
"client"," received checked account money redraw "
"client",""
"client"," receive money"
"client"," created "
"client"," received received remaining "
"client"," "
"client",""
"client"," screenshot send sender bank transfer account"
"client"," "
"client"," received "
"client"," redraw money account money machine message telling account debited"
"client"," cashing machine telling account "
"client"," message unavailable respond "
"client"," school bank account connected mtn mobile money account facilitate transaction deposit withdraw money account"
"client"," day madame"
"client"," day madame downloaded app"
"client"," day madame register account missing "
"client"," field "
"client"," customer "
"client"," "
"client"," unique identification "
"client",""
"client"," assistance"
"client"," change phone receives messages bank account momo"
"client"," mtn money deposit account money account"
"client"," huge money pending transfer account doubts transaction process"
"client"," contact beac agent pay fiscal stamps frs "
"client"," standard process"
"client"," payments fiscal stamps "
"client"," payment nigeria afriland bank"
"client"," collect electronic card change code "
"client"," "
"client"," iban "
"client"," bic "
"client",""
"client",""
"client"," authorized debit transaction account afriland bank paris branch payment afriland branch akwa douch"
"client"," confirmation code received receiving branch"
"client"," deposited branch paris"
"client"," waiting"
"client"," authorized debit transaction account afriland bank paris branch "
"client",""
"client",""
"client",""
"client",""
"client",""
"client"," payments card rejecting prepaid card international transactions payment dollars rejecting visa card"
"client"," vpayfast yuan pay dollars rejecting card"
"client"," issue account withdrawal payoneer account bank account friday week received money bank account created account kumba limbe coming limbe branch verify issue contact kumba "
"client"," withdrawal frs limbe branch notification withdrawal "
"client"," confirmation transfer"
"client"," strange time experiencing issue"
"client"," loan machine credit card office "
"client"," euro account send xaf euro current exchange rate charges international transfer xaf euro pounds percent charges cut "
"client"," daily limit afriland prepaid card increase "
"client"," afriland visa card online transactions daily limit afriland visa debit card limitless "
"client"," prepaid card limitless "
"client"," withdrawal limit monthly monthly withdrawal limit "
"client"," increase daily limit day "
