notice	7
august	19
frcfa	3
signaled	4
gimac	9
loging	3
reaction	4
region	5
contract	7
deduction	33
dated	3
confirm	21
cancel	6
subscribed	8
west	4
informed	5
deposited	31
disappointed	4
external	7
declaration	3
paying	16
brazzaville	3
cash	20
buea	11
cancelled	5
situation	19
engaged	4
afriland	211
everyday	5
worry	17
thesame	3
inquire	3
pay	57
granted	4
ethiopia	8
inquiry	4
document	18
screenshot	9
validate	6
complained	7
charges	54
solve	15
debited	96
charged	9
money	676
touch	3
douala	13
real	5
sums	3
period	7
department	3
server	4
reduced	4
deduct	8
respect	7
duration	7
unlocked	4
deficit	4
accessing	4
business	22
asap	3
acc	3
central	5
package	6
bafoussam	22
mixed	3
accounts	28
forwarded	3
removing	4
hey	3
start	11
lot	6
complete	20
delayed	4
happening	29
october	3
trading	3
expect	4
forgot	3
fellow	4
file	15
incorrect	3
valid	12
poor	3
requested	24
refunded	11
included	4
wife	4
alright	5
forget	3
dollar	4
month	127
unblock	12
follow	11
hmmm	3
thursday	20
program	3
hellooo	3
returned	8
worst	3
lll	3
rate	10
pass	11
functioning	10
dial	8
sum	24
xof	3
version	20
public	6
hours	23
november	9
sender	11
authorize	6
family	5
africa	3
fcfa	45
select	5
takes	6
texting	3
finally	8
authorization	8
initiated	3
company	11
kome	6
town	8
history	13
messages	18
share	3
accept	5
huge	4
bonaberi	3
upto	4
reflect	6
coming	10
verified	4
response	41
short	9
register	7
banks	4
emmanuel	8
mission	5
trade	3
attitude	5
solving	3
nformi	7
stephen	8
team	32
return	6
complain	12
week	44
house	6
reduce	3
evenx	3
connect	7
operation	17
insurance	8
issue	40
friday	16
quick	3
reason	18
terrible	3
conducted	3
expecting	13
informations	3
mistakenly	5
reflected	3
traveled	4
fees	29
checkpoint	5
station	3
identity	6
passed	7
nigeria	5
store	5
statement	11
consult	4
kindly	19
double	6
supposed	27
attorney	10
treated	10
urgently	11
option	8
useless	3
cameroon	49
play	6
reach	6
services	19
unavailable	3
salary	151
â	3
mobile	78
fine	7
failed	9
wayne	3
ã	5
remove	10
banking	53
withdrawal	49
wrote	9
close	9
declined	5
guinea	5
rejecting	5
transfered	4
europe	6
creating	5
missing	10
incident	9
succeed	3
caracters	8
foreign	6
gestionnaire	3
crã	6
connection	6
alot	3
forgotten	7
pdf	16
reside	3
reasons	5
loan	235
create	16
secret	3
maintenance	5
collected	6
xaf	39
transferring	3
fund	6
understand	82
demand	6
gab	6
acount	7
stolen	4
budget	3
technical	6
error	38
guide	3
pack	10
ready	6
limit	11
grant	3
government	3
advise	5
failure	6
complaining	3
yesterday	51
alert	5
arrived	4
user	6
euro	26
person	16
reclaim	4
withdraw	96
swiss	10
press	4
cut	24
workers	4
location	3
input	6
remaining	5
surprised	7
complaint	12
march	15
ethiopian	4
couple	7
compte	3
formal	4
success	4
collect	15
continue	6
names	3
google	5
understood	4
closest	4
inserting	3
patient	5
processing	10
costumer	6
agreement	5
refused	3
step	5
fee	24
delayance	3
revolut	7
block	8
question	8
virement	3
registered	12
deductions	7
link	10
info	3
requesting	8
verification	9
called	20
mfatoken	3
consulted	4
amounts	3
invalid	4
application	58
dakar	3
prepared	3
meaning	11
land	4
required	8
international	42
code	68
issued	3
issues	11
send	106
confirmation	15
presently	8
telling	19
attempts	4
cfa	9
download	6
access	74
waiting	70
capital	3
justification	4
exchange	6
commercial	3
debits	4
receive	82
withdrawing	5
claim	4
app	124
hippodrome	3
apply	18
standing	11
airtime	11
usd	20
usa	4
started	8
subscription	9
customer	74
account	1359
meet	5
proof	6
process	22
justifications	3
transpired	4
afb	16
delay	5
sim	6
attend	4
islamic	4
requirements	3
realized	3
anydesk	4
counter	3
fortunately	3
including	3
reinstated	3
orange	47
pending	13
dad	8
niba	3
cutting	4
insisting	3
day	38
installment	5
promises	3
activate	3
etoudi	3
eco	12
log	9
times	28
kribi	3
south	6
confuse	3
congo	4
owner	3
reached	10
precisely	5
reference	9
attach	3
travelled	4
final	3
configure	6
completed	5
july	8
submitted	7
collecting	3
viewer	4
linked	8
documents	70
attestation	9
agency	41
expires	3
connected	7
expired	10
payment	21
stranded	5
charles	3
bring	6
based	14
credited	42
thousands	9
hope	16
atabong	3
shu	4
calling	3
rappel	4
processed	5
fixed	3
view	3
madam	19
gmail	6
wire	6
chuye	7
written	3
difficulties	5
identification	7
correctly	5
yaoundã	5
email	28
bought	7
key	3
restrictions	3
instant	3
limits	3
april	28
tuesday	6
withdrawn	19
sara	371
treat	9
bit	5
otp	21
fault	3
instantly	3
frustrating	8
respected	3
partner	9
difficult	5
student	4
dschang	11
transaction	171
center	3
payslip	3
position	3
usual	4
load	5
nkongsamba	6
deposits	3
add	8
resolved	14
checking	7
february	23
belgium	4
password	42
dubai	10
lost	16
tram	16
payments	21
james	3
unsuccessful	3
reclamation	7
platforms	3
melen	7
transport	3
avoid	5
salaries	4
kumba	8
expire	3
loans	7
sister	6
carried	6
withdrew	17
monthly	40
insufficient	6
laon	5
equally	5
rectify	6
promise	3
registration	15
beneficiary	10
transfer	190
apps	6
reduction	4
noticed	23
yrs	3
function	4
building	3
certificate	6
north	3
funds	33
count	3
calls	7
signed	30
minutes	6
pin	9
recognize	3
details	28
branch	86
monday	20
june	17
uba	3
subscribe	11
yaounde	19
